problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio
1901A,0,['this is the og problem'],['for loop'],"['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a.append(x)
        a.sort()
        ans = 0
        pre = 0
        for i in a:
            ans = max(ans, i - pre)
            pre = i
        pre = x
        for i in a[::-1]:
            if pre - i > ans:
                ans = pre - i
            pre = i
        print(ans)
",False,True,0,0.0
1901A,1,['for loop'],['for loop'],"['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import math

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a.insert(0, 0)
        a.append(x)
        a = sorted(a)
        ans = 0
        for i in range(n+1):
            ans = max(ans, a[i] - a[i-1] * 2)
        print(ans)
",False,False,0,0.0
1901A,2,"['for loop', 'while loop']","['if statement', 'for loop']","['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","from sys import stdin
from math import ceil

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    a.append(x)
    a.insert(0, 0)
    ans = 0
    for i in range(1, n+2):
        ans = max(ans, ceil(a[i] - a[i-1]))
    return ans

",False,False,0,0.0
1901A,3,"['for loop', 'while loop', 'sorting']","['while loop', 'misc']","['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import sys
import math

def solve():
    input_list = input().splitlines()
    input_list = list(map(int,x) for x in input_list)
    T = input_list[0]
    index = 1
    while T > 0:
        n = input_list[index]
        x = input_list[index + 1]
        stations = input_list[index + 2:index +\n +\2]
        T -= 1
        index +=\n +\2
        min_volume = max([x - max(stations), max(stations[i +\1] - stotions[i] for i in range(len(stations - 1)]) * 2
        print(min_volume)
",False,False,0,0.0
1899A,0,['this is the og problem'],['for loop'],"['for loop', 'if statement', 'matrix operation', 'while loop']","def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        print(""First"" if n % 3) > 0 else ""Second"")
",False,True,0,0.0
1899A,1,['for loop'],"['for loop', 'if statement']","['for loop', 'if statement', 'matrix operation', 'while loop']","def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3) == 0):
            print(""Second"")
        elif n % 3) in (1, 2):
            print(""First"")
        else:
            print(""Second"")
",False,False,0,0.0
1899A,2,"['for loop', 'while loop']","['if statement', 'for loop']","['for loop', 'if statement', 'matrix operation', 'while loop']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        print(""First"" if n % 3 == 0 or n == 1 else ""Second"")
",False,False,0,0.0
1899A,3,"['for loop', 'while loop', 'if statement']","['for loop', 'if statement']","['for loop', 'if statement', 'matrix operation', 'while loop']","import sys

def solve():
    t = int(input().strip())
    for _ in range(t):
        n = int(input().strip())
        print(""Second"" if n % 3) == 0 else ""First"")

",False,False,0,0.0
1899A,4,"['for loop', 'while loop', 'if statement', 'tuple']","['if statement', 'for loop', 'misc']","['for loop', 'if statement', 'matrix operation', 'while loop']","def solve():
    for _ in range(int(input())):
        n = int(input())
        print(""First"" if n % 3) > 0 and n < 100 else ""Second"")
",False,False,1,0.3333333333333333
1898A,0,['this is the og problem'],"['for loop', 'if statement', 'misc']","['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","from typing import *

def solve():
    for _ in range(int(input())):
        n,k=input().split()
        n,k=int(n),int(k)
        s=input()
        count=s.count('B')
        if count>k:
            print(n-count)
            for i in range(n-count,n):
                print(i+1,'A')
        elif count<k:
            print(k-count)
            for i in range(k-count):
                print(i+1,'B')
        else:
            print(0)
",False,True,0,0.0
1898A,1,['hashmap'],['for loop'],"['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","import sys
input = sys.stdin.readline

def solve():
    num = int(input())
    for i in range(num):
        a = list(map(int,input().split()))
        s = input().strip()
        b = s.count('B')
        n = len(s)
        if a[1] <= b:
            print(0)
            continue
        k = a[1] - b
        res = []
        idx = n - 1
        while k > 0 and idx >= 0:
            if s[idx] == 'B':
                idx -= 1
                continue
            res.append([idx + 1, 'B'])
            k -= 1
            idx -= 1
        if k > 0:
            res.append([n, 'A'])
            for i in range(k - 1):
                res.append([i + 1, 'B'])
        print(len(res))
        for row in res:
            print(*row)
",False,True,0,0.0
1898A,2,"['hashmap', 'continue statement']",['for loop'],"['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","def solve():
    import sys

    input = sys.stdin.readline

    t = int(input.strip())

    for _ in range(t):
        n, k = map(int, input().split())
        s = input().strip()

        A_count = s.count('A')
        B_count = n - A_count

        if B_count == k:
            print(0)
            continue

        ans = []
        if B_count < k:
            need_B = k - B_count
            i = 0
            while need_B > 0:
                if s[i] == 'A':
                    ans.append((i + 1, 'B'))
                    need_B -= 1
                i += 1
        else:
            need_A = A_count - (n - k)
            i = n - 1
            while need_A > 0:
                if s[i] == 'B':
                    ans.append((i + 1, 'A'))
                    need_A -= 1
                i -= 1

        print(len(ans))
        for x in ans:
            print(*x)
",False,True,0,0.0
1898A,3,"['hashmap', 'continue statement', 'for loop']","['if statement', 'for loop']","['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","import sys

def solve():
    input = input()
    tc = int(input[0].strip())
    input = input[1:]
    line = 0
    for _ in range(tc):
        n, k = map(int, input[line].split())
        line += 1
        s = input[line].strip()
        line += 1
        s = [char for char in s]
        cnt_a = s.count('A')
        if k <= cnt_a:
            op = cnt_a - k
            print(op)
            for i in range(op):
                print(f""1 A"")
        else:
            cnt_b = n - cnt_a
            op = k - cnt_b
            print(op)
            for i in range(op):
                print(f""{i+1} B"")
",False,False,0,0.0
1898A,4,"['hashmap', 'continue statement', 'for loop', 'if statement']",['for loop'],"['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","import re
import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        b_count = len(re.findall(""B"", s))
        if b_count == k:
            print(0)
        elif b_count < k:
            operations = []
            b_needed = k - b_count
            idx =   while b_needed > 0:
                idx += 1
                if s[-idx] == ""A"":
                    operations.append((idx, ""B""))
                    b_needed -= 1
            print(len(operations))
            for op in operations:
                print(op[0], op[1])
        else:
            operations = []
            b_to_remove = b_count - k
            idx =  -1
            while b_to_remove > 0:
                idx -= 1
                if s[idx] == ""B"":
                    operations.append((n - idx, ""A""))
                    b_to_remove -= 1
            print(len(operations))
            for op in operations:
                print(op[0], op[1])

",False,False,0,0.0
1898A,5,"['hashmap', 'continue statement', 'for loop', 'if statement', 'misc']","['for loop', 'if statement']","['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","def solve():
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        a_count = s.count('A')
        b_count = n - a_count
        if k <= b_count:
            print(0)
        elif k >= n - a_count:
            print(n - a_count)
            print('\n'.join(['1 A\n'] * (n - a_count))
        else:
            print(1)
            print(f'{n - a_count - (k - b_count} B')
",False,False,0,0.0
1895B,0,['this is the og problem'],"['for loop', 'if statement', 'tuple', 'sorting', 'matrix operation']","['while loop', 'for loop', 'tuple', 'if statement', 'sorting', 'matrix operation', 'two pointers', 'misc', 'hashmap']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        a = list(map(int, input().split()))
        a.sort()
        ans = []
        for i in range(0, 2 * n, 2):
            ans.append([a[i], a[i + n])
        print(sum(abs(ans[i][0] - ans[i + 1][0]) + abs(ans[i][1] - ans[i + 1][1] for i in range(0, len(ans), 2))
        for p in ans:
            print(p[0], p[1])

",False,True,0,0.0
